name,age,ast,ast,crdr,crdy,gls,gls,min,mp,nation,pk,pos,starts,team,xag,xag,xg,xg
Jorrel Hato,19-194,0.0,0.0,0.0,2.0,0.0,0.0,67.0,2,nl NED,0.0,DF,1,Chelsea,0.0,0.0,0.0,0.0
Facundo Buonanotte,20-268,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1,ar ARG,0.0,MF,1,Chelsea,0.3,0.51,0.0,0.0
Tyrique George,19-225,0.0,0.0,0.0,1.0,0.0,0.0,112.0,2,eng ENG,0.0,FW,0,Chelsea,0.0,0.0,0.2,0.2
Andrey Santos,21-137,0.0,0.0,0.0,1.0,0.0,0.0,51.0,3,br BRA,0.0,MF,0,Chelsea,0.1,0.1,0.3,0.54
Alejandro Garnacho,21-078,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1,ar ARG,0.0,FW,0,Chelsea,0.1,0.66,0.0,0.0
Dario Essugo,20-187,,,,,,,,0,pt POR,,MF,0,Chelsea,,,,
Filip Jørgensen,23-154,,,,,,,,0,dk DEN,,GK,0,Chelsea,,,,
Gaga Slonina,21-125,,,,,,,,0,us USA,,GK,0,Chelsea,,,,
Squad Total,24.4,6.0,1.5,0.0,7.0,9.0,2.25,360.0,4,,1.0,,44,Chelsea,5.6,1.4,7.7,1.92
Opponent Total,27.2,3.0,0.75,0.0,8.0,3.0,0.75,360.0,4,,0.0,,44,Chelsea,3.2,0.8,3.7,0.93
Kiernan Dewsbury-Hall,27-011,1.0,0.25,0.0,3.0,1.0,0.25,360.0,4,eng ENG,0.0,MF,4,Everton,1.6,0.39,0.1,0.03
James Garner,24-188,0.0,0.0,0.0,1.0,1.0,0.25,360.0,4,eng ENG,0.0,"DF,MF",4,Everton,0.7,0.17,0.2,0.04
Michael Keane,32-249,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,eng ENG,0.0,DF,4,Everton,0.1,0.03,0.5,0.14
Jake O'Brien,24-125,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,ie IRL,0.0,DF,4,Everton,0.0,0.01,0.3,0.08
Jordan Pickford,31-194,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,eng ENG,0.0,GK,4,Everton,0.0,0.0,0.0,0.0
James Tarkowski,32-302,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,eng ENG,0.0,DF,4,Everton,0.1,0.02,0.4,0.1
Idrissa Gana Gueye,35-356,0.0,0.0,0.0,0.0,0.0,0.0,345.0,4,sn SEN,0.0,MF,4,Everton,0.1,0.03,0.4,0.12
Iliman Ndiaye,25-195,0.0,0.0,0.0,0.0,2.0,0.54,332.0,4,sn SEN,0.0,FW,4,Everton,0.5,0.13,1.3,0.35
Jack Grealish,30-007,4.0,1.26,0.0,1.0,0.0,0.0,286.0,4,eng ENG,0.0,FW,3,Everton,2.0,0.62,0.4,0.13
Beto,27-229,0.0,0.0,0.0,1.0,1.0,0.34,266.0,4,gw GNB,0.0,FW,3,Everton,0.2,0.06,1.8,0.61
Tim Iroegbunam,22-079,0.0,0.0,0.0,3.0,0.0,0.0,220.0,4,eng ENG,0.0,MF,3,Everton,0.0,0.0,0.2,0.06
Carlos Alcaraz,22-291,0.0,0.0,0.0,1.0,0.0,0.0,115.0,3,ar ARG,0.0,"FW,MF",1,Everton,0.0,0.0,0.0,0.01
Thierno Barry,22-331,0.0,0.0,0.0,0.0,0.0,0.0,99.0,4,fr FRA,0.0,"FW,MF",1,Everton,0.0,0.0,0.5,0.42
Vitaliy Mykolenko,26-111,0.0,0.0,0.0,0.0,0.0,0.0,90.0,1,ua UKR,0.0,DF,1,Everton,0.0,0.0,0.0,0.0
Merlin Röhl,23-074,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,de GER,0.0,MF,0,Everton,0.1,0.26,0.0,0.1
Dwight McNeil,25-299,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1,eng ENG,0.0,FW,0,Everton,0.1,0.64,0.2,1.1
Harrison Armstrong,18-241,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,eng ENG,0.0,FW,0,Everton,0.0,0.0,0.0,0.0
Séamus Coleman,36-341,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,ie IRL,0.0,FW,0,Everton,0.0,0.0,0.0,0.0
Adam Aznou,19-107,,,,,,,,0,ma MAR,,DF,0,Everton,,,,
Elijah Campbell,21-046,,,,,,,,0,eng ENG,,DF,0,Everton,,,,
Youssef Chermiti,21-116,,,,,,,,0,pt POR,,FW,0,Everton,,,,
Tyler Dibling,19-189,,,,,,,,0,eng ENG,,MF,0,Everton,,,,
Tyler Onyango,22-197,,,,,,,,0,eng ENG,,MF,0,Everton,,,,
Nathan Patterson,23-336,,,,,,,,0,sct SCO,,DF,0,Everton,,,,
Mark Travers,26-122,,,,,,,,0,ie IRL,,GK,0,Everton,,,,
Harry Tyrer,23-285,,,,,,,,0,eng ENG,,GK,0,Everton,,,,
Squad Total,28.4,5.0,1.25,0.0,10.0,5.0,1.25,360.0,4,,0.0,,44,Everton,5.4,1.34,6.3,1.57
Opponent Total,26.9,2.0,0.5,0.0,6.0,3.0,0.75,360.0,4,,1.0,,44,Everton,3.4,0.85,5.9,1.48
Trai Hume,23-183,0.0,0.0,0.0,0.0,0.0,0.0,360.0,4,nir NIR,0.0,DF,4,Sunderland,0.2,0.04,0.1,0.02
Reinildo Mandava,31-239,0.0,0.0,0.0,1.0,0.0,0.0,360.0,4,mz MOZ,0.0,DF,4,Sunderland,0.0,0.0,0.0,0.0
Robin Roefs,22-243,0.0,0.0,0.0,1.0,0.0,0.0,360.0,4,nl NED,0.0,GK,4,Sunderland,0.0,0.0,0.0,0.0
Granit Xhaka,32-355,1.0,0.25,0.0,1.0,0.0,0.0,360.0,4,ch SUI,0.0,MF,4,Sunderland,0.3,0.07,0.1,0.01
Noah Sadiki,20-274,0.0,0.0,0.0,0.0,0.0,0.0,353.0,4,cd COD,0.0,MF,4,Sunderland,0.1,0.03,0.1,0.01
Habib Diarra,21-257,0.0,0.0,0.0,1.0,0.0,0.0,345.0,4,sn SEN,0.0,MF,4,Sunderland,0.0,0.01,0.6,0.15
Chemsdine Talbi,20-131,1.0,0.3,0.0,0.0,0.0,0.0,305.0,4,ma MAR,0.0,FW,4,Sunderland,0.1,0.04,0.5,0.15
Omar Alderete,28-265,1.0,0.29,0.0,0.0,0.0,0.0,308.0,4,py PAR,0.0,DF,3,Sunderland,0.0,0.01,0.1,0.03
Simon Adingra,23-259,0.0,0.0,0.0,1.0,0.0,0.0,231.0,4,ci CIV,0.0,FW,3,Sunderland,0.5,0.2,0.1,0.05
Eliezer Mayenda,20-132,0.0,0.0,0.0,0.0,1.0,0.45,201.0,3,es ESP,0.0,FW,3,Sunderland,0.3,0.11,0.4,0.18
Nordi Mukiele,27-320,0.0,0.0,0.0,0.0,0.0,0.0,180.0,2,fr FRA,0.0,DF,2,Sunderland,0.1,0.03,0.1,0.04
Daniel Ballard,25-360,0.0,0.0,0.0,0.0,1.0,0.92,98.0,2,nir NIR,0.0,DF,2,Sunderland,0.3,0.28,0.2,0.17
Wilson Isidor,25-021,0.0,0.0,0.0,0.0,2.0,1.14,158.0,4,fr FRA,0.0,FW,1,Sunderland,0.0,0.0,0.4,0.22
Jenson Seelt,22-117,0.0,0.0,0.0,0.0,0.0,0.0,134.0,2,nl NED,0.0,DF,1,Sunderland,0.0,0.0,0.0,0.0
Enzo Le Fée,25-226,0.0,0.0,0.0,0.0,1.0,0.68,133.0,3,fr FRA,1.0,"FW,MF",1,Sunderland,0.2,0.14,0.8,0.56
Patrick Roberts,28-224,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1,eng ENG,0.0,"MF,FW",0,Sunderland,0.0,0.0,0.0,0.11
Brian Brobbey,23-228,0.0,0.0,0.0,0.0,0.0,0.0,22.0,1,nl NED,0.0,FW,0,Sunderland,0.0,0.0,0.0,0.0
Marc Guiu,19-256,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2,es ESP,0.0,FW,0,Sunderland,0.0,0.0,0.0,0.14
Lutsharel Geertruida,25-061,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1,nl NED,0.0,MF,0,Sunderland,0.0,0.0,0.0,0.0
Chris Rigg,18-091,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,eng ENG,0.0,FW,0,Sunderland,0.0,0.0,0.0,0.0
Harrison Jones,20-266,,,,,,,,0,eng ENG,,MF,0,Sunderland,,,,
Arthur Masuaku,31-314,,,,,,,,0,cd COD,,"DF,MF",0,Sunderland,,,,
Dan Neil,23-278,,,,,,,,0,eng ENG,,MF,0,Sunderland,,,,
Anthony Patterson,25-130,,,,,,,,0,eng ENG,,GK,0,Sunderland,,,,
