name,nation,pos,age,mp,starts,min,gls,gls,ast,ast,pk,crdy,crdr,xg,xg,xag,xag,team
Marcus Tavernier,eng ENG,MF,26-179,4,4,333.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0,0.9,0.24,0.3,0.07,Bournemouth
David Brooks,wls WAL,"MF,FW",28-071,4,4,277.0,0.0,0.0,1.0,0.32,0.0,2.0,0.0,0.8,0.25,1.4,0.45,Bournemouth
Alex Scott,eng ENG,MF,22-027,4,4,266.0,1.0,0.34,0.0,0.0,0.0,1.0,0.0,0.2,0.06,0.3,0.09,Bournemouth
Bafodé Diakité,fr FRA,DF,24-254,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,Bournemouth
Adam Smith,eng ENG,DF,34-141,3,3,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.12,Bournemouth
James Hill,eng ENG,DF,23-250,4,1,155.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.07,0.0,0.0,Bournemouth
Veljko Milosavljević,rs SRB,DF,18-081,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06,Bournemouth
Amine Adli,ma MAR,"MF,FW",25-130,3,0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.1,Bournemouth
Ryan Christie,sct SCO,MF,30-207,2,0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.04,Bournemouth
Justin Kluivert,nl NED,"MF,FW",26-135,3,0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.39,0.2,0.33,Bournemouth
Hamed Junior Traorè,ci CIV,MF,25-213,1,0,17.0,0.0,0.0,1.0,5.29,0.0,0.0,0.0,0.0,0.0,0.2,1.1,Bournemouth
Eli Junior Kroupi,fr FRA,"FW,MF",19-086,3,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Ben Winterburn,eng ENG,MF,21-013,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Lewis Cook,eng ENG,MF,28-226,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Álex Jiménez,es ESP,DF,20-132,1,0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Julio Soler,ar ARG,FW,20-213,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bournemouth
Julian Araujo,mx MEX,DF,24-035,0,0,,,,,,,,,,,,,Bournemouth
Philip Billing,dk DEN,MF,29-098,0,0,,,,,,,,,,,,,Bournemouth
Will Dennis,eng ENG,GK,25-069,0,0,,,,,,,,,,,,,Bournemouth
Ben Doak,sct SCO,"FW,MF",19-310,0,0,,,,,,,,,,,,,Bournemouth
Romain Faivre,fr FRA,"FW,MF",27-065,0,0,,,,,,,,,,,,,Bournemouth
Remy Rees-Dottin,eng ENG,FW,19-195,0,0,,,,,,,,,,,,,Bournemouth
Moisés Caicedo,ec ECU,MF,23-319,4,4,360.0,2.0,0.5,0.0,0.0,0.0,1.0,0.0,0.4,0.1,0.0,0.0,Chelsea
Robert Sánchez,es ESP,GK,27-303,4,4,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Pedro Neto,pt POR,FW,25-192,4,4,350.0,1.0,0.26,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.9,0.23,Chelsea
Enzo Fernández,ar ARG,MF,24-243,4,4,348.0,2.0,0.52,1.0,0.26,1.0,0.0,0.0,1.9,0.5,0.7,0.19,Chelsea
Trevoh Chalobah,eng ENG,DF,26-074,4,4,338.0,1.0,0.27,0.0,0.0,0.0,0.0,0.0,0.6,0.15,0.0,0.0,Chelsea
João Pedro,br BRA,"FW,MF",23-356,4,4,330.0,2.0,0.55,3.0,0.82,0.0,0.0,0.0,1.5,0.41,1.2,0.33,Chelsea
Marc Cucurella,es ESP,DF,27-057,4,3,293.0,0.0,0.0,1.0,0.31,0.0,0.0,0.0,0.2,0.05,0.8,0.24,Chelsea
Tosin Adarabioyo,eng ENG,DF,27-358,3,3,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Estêvão Willian,br BRA,FW,18-146,3,2,180.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,1.0,0.49,0.9,0.44,Chelsea
Malo Gusto,fr FRA,DF,22-121,3,2,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,Chelsea
Jamie Gittens,eng ENG,FW,21-040,4,2,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.1,0.09,Chelsea
Liam Delap,eng ENG,FW,22-221,3,2,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.22,0.0,0.0,Chelsea
Reece James,eng ENG,DF,25-283,4,1,155.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.04,0.5,0.3,Chelsea
Cole Palmer,eng ENG,MF,23-134,2,1,125.0,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.8,0.58,0.0,0.02,Chelsea
Joshua Acheampong,eng ENG,DF,19-135,1,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.0,0.0,Chelsea
Wesley Fofana,fr FRA,DF,24-274,2,1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Jorrel Hato,nl NED,DF,19-194,2,1,67.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Facundo Buonanotte,ar ARG,MF,20-268,1,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.51,Chelsea
